Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status,pca_component_1,pca_component_2
LP001002,Male,No,0,Graduate,No,Urban,Y,560.8007653314999,-1585.1637055653127
LP001003,Male,Yes,1,Graduate,No,Rural,N,-810.3129034870162,-172.05915246394466
LP001005,Male,Yes,0,Graduate,Yes,Urban,Y,-2281.215313894154,-1790.3311864376503
LP001006,Male,Yes,0,Not Graduate,No,Urban,Y,-2866.255095063489,531.9730913737585
LP001008,Male,No,0,Graduate,No,Urban,Y,711.5048377081112,-1574.2118309577952
LP001011,Male,Yes,2,Graduate,Yes,Urban,Y,-170.70537828652505,2569.933461104336
LP001013,Male,Yes,0,Not Graduate,No,Urban,Y,-3055.250568708184,-325.9834364770063
LP001014,Male,Yes,3+,Graduate,No,Semiurban,N,-2424.648151851572,710.4386178493673
LP001018,Male,Yes,2,Graduate,No,Urban,Y,-1386.791094554863,-195.23741980447608
LP001020,Male,Yes,1,Graduate,No,Semiurban,N,6747.570142123285,9858.204621683117
LP001024,Male,Yes,2,Graduate,No,Urban,Y,-2132.0393987580896,-1077.763170523504
LP001027,Male,Yes,2,Graduate,Unknown,Urban,Y,-2911.876855917465,9.277955386351325
LP001028,Male,Yes,2,Graduate,No,Urban,Y,-2790.216835004664,6300.772284562329
LP001029,Male,No,0,Graduate,No,Rural,N,-3629.046630204787,960.2207199334516
LP001030,Male,Yes,2,Graduate,No,Urban,Y,-4056.110418049046,-829.4086183558768
LP001032,Male,No,0,Graduate,No,Urban,Y,-335.8688915608691,-1649.7715308775614
LP001034,Male,No,1,Not Graduate,No,Urban,Y,-1686.459708624901,-1747.0644335536472
LP001036,Female,No,0,Graduate,No,Urban,N,-1772.4739007335102,-1753.6129170121344
LP001038,Male,Yes,0,Not Graduate,No,Rural,N,-398.64284886094447,-1654.233367750433
LP001041,Male,Yes,0,Graduate,Unknown,Urban,Y,-2931.449429513489,1672.1656590685377
LP001043,Male,Yes,0,Not Graduate,No,Urban,N,2366.87681039143,-1455.2543591580788
LP001046,Male,Yes,1,Graduate,No,Urban,Y,263.505723726802,4034.227754531976
LP001047,Male,Yes,0,Not Graduate,No,Semiurban,N,-2817.190144016884,87.33215515679467
LP001050,Unknown,Yes,2,Not Graduate,No,Rural,N,-2054.654621076483,148.24172043884755
LP001052,Male,Yes,1,Graduate,Unknown,Semiurban,N,-1775.7548356285656,1179.2035605873698
LP001066,Male,Yes,0,Graduate,Yes,Semiurban,Y,4262.568071799967,-1318.0624792448689
LP001068,Male,Yes,0,Graduate,No,Semiurban,Y,-2643.2555566791902,442.7812503341752
LP001073,Male,Yes,2,Not Graduate,No,Urban,Y,-1132.8659977433454,-664.6252430932336
LP001086,Male,No,0,Not Graduate,No,Urban,N,-3835.373897262533,-1902.5055139353367
LP001087,Female,No,2,Graduate,Unknown,Semiurban,Y,-1682.5369522317503,341.52959690626176
LP001091,Male,Yes,1,Graduate,Unknown,Urban,N,-1359.4724036838084,1654.6979364749643
LP001095,Male,No,0,Graduate,No,Urban,N,-2114.5913306415937,-1778.269914515397
LP001097,Male,No,1,Graduate,Yes,Rural,N,-593.3387234852244,-1668.4582866636774
LP001098,Male,Yes,0,Graduate,No,Semiurban,Y,-1902.0173220887625,-91.38965545028714
LP001100,Male,No,3+,Graduate,No,Rural,N,6980.153113796904,1886.327747435531
LP001106,Male,Yes,0,Graduate,No,Urban,Y,-3152.4643624482974,219.67211272572104
LP001109,Male,Yes,0,Graduate,No,Urban,N,-3545.516750079984,-547.735629906633
LP001112,Female,Yes,0,Graduate,No,Semiurban,Y,-1720.2696963475328,-286.60787757128924
LP001114,Male,No,0,Graduate,No,Urban,Y,-1635.7763537596063,5485.509730178706
LP001116,Male,No,0,Not Graduate,No,Semiurban,Y,-1654.768966214594,-72.60807991375304
LP001119,Male,No,0,Graduate,No,Urban,N,-1682.678924919244,-1747.1153226097947
LP001120,Male,No,0,Graduate,No,Urban,Y,-3565.435961039872,-666.8653283370663
LP001123,Male,Yes,0,Graduate,No,Urban,Y,-2879.575951921582,-1833.362883098851
LP001131,Male,Yes,0,Graduate,No,Semiurban,Y,-1510.1210494059346,607.7009496859187
LP001136,Male,Yes,0,Not Graduate,Yes,Urban,Y,-590.4229898899648,-1668.3228405344607
LP001137,Female,No,0,Graduate,No,Urban,Y,-1872.1204406983848,-1760.7007891217138
LP001138,Male,Yes,1,Graduate,No,Urban,Y,360.6824222601417,-1600.2042367784222
LP001144,Male,Yes,0,Graduate,No,Urban,Y,532.9963210537753,-1587.0470981722638
LP001146,Female,Yes,0,Graduate,No,Urban,N,-2882.214919911958,1615.595499447346
LP001151,Female,No,0,Graduate,No,Semiurban,Y,-1446.8130796615706,551.1791989208018
LP001155,Female,Yes,0,Not Graduate,No,Semiurban,Y,-3468.355618676528,-227.3734217262053
LP001157,Female,No,0,Graduate,No,Semiurban,Y,-2195.0277991151665,-1783.7205880621093
LP001164,Female,No,0,Graduate,No,Semiurban,N,-1054.083521217698,-1701.6001398521494
LP001179,Male,Yes,2,Graduate,No,Urban,N,-668.9258244274215,-1673.6938930191825
LP001186,Female,Yes,1,Graduate,Yes,Urban,N,6198.215760159002,-1177.932959085937
LP001194,Male,Yes,2,Graduate,No,Semiurban,Y,-2656.1232461357567,-647.1142207678683
LP001195,Male,Yes,0,Graduate,No,Semiurban,Y,-3261.1093997899134,-265.61146813051755
